name,sub-category,about
Jonas Photo,Consumer Services,"Jonas Photo Indonesia is a prominent photography studio and services provider based in Indonesia. With a rich history dating back to its establishment in 1987, the company has established itself as a leading name in the photography industry within the region. Specializing in a wide range of photography services, including portrait, wedding, and commercial photography, Jonas Photo Indonesia has earned a reputation for its exceptional creativity, professionalism, and dedication to capturing unforgettable moments. Their commitment to innovation and high-quality imagery has made them a trusted choice for clients seeking stunning visual memories."
Rollingstone,Media & Entertainment,"Rolling Stone Indonesia is a prominent music and entertainment magazine that caters to the Indonesian audience. Launched in 2005, it has since become a leading source of information and insights into the world of music, pop culture, and entertainment in Indonesia. The magazine covers a wide range of topics, including music reviews, artist interviews, feature articles, and cultural commentary, making it a go-to publication for music enthusiasts and pop culture aficionados in the country."
Electronic City,Distribution & Retail,"Electronic City Indonesia is one of the largest and most prominent electronics retail chains in Indonesia. Founded in 2001, it has established itself as a go-to destination for consumers seeking a wide range of electronic and household appliances, including televisions, refrigerators, washing machines, smartphones, and more. With a strong commitment to providing quality products and excellent customer service, Electronic City has expanded its presence across the archipelago, boasting numerous stores in major cities. The company is known for its extensive product offerings, competitive pricing, and innovative marketing strategies, making it a trusted choice for Indonesian consumers looking to purchase electronics and appliances."
Mustika Ratu,Personal & Beauty,"Mustika Ratu is a well-known Indonesian cosmetics and herbal skincare company with a strong focus on traditional beauty remedies and wellness products. Founded in 1975 by Mooryati Soedibyo, Mustika Ratu has become a prominent brand in the Indonesian beauty industry. The company combines age-old Indonesian beauty traditions, such as Jamu herbal medicine and traditional Javanese beauty rituals, with modern skincare technology to create a wide range of cosmetics and skincare products. Mustika Ratu's commitment to using natural ingredients and sustainable practices has earned it a loyal customer base, both in Indonesia and internationally."
Sony Music,Media & Entertainment,"Sony Music is a global record label and entertainment company, renowned for its extensive contributions to the music industry. As one of the major players in the field, Sony Music represents and collaborates with a diverse array of artists, producing and distributing a wide range of musical genres. With a rich history and global presence, Sony Music has played a pivotal role in shaping the music landscape, fostering creativity, and bringing a multitude of talents to audiences worldwide."
Sequislife,Insurance,"BRI is one of Indonesia's largest state-owned banks, focusing on providing financial services to the country's diverse population. Established with a mission to support and empower the rural community, BRI has grown into a comprehensive financial institution offering banking products and services, including microfinance, savings, loans, and electronic banking. The bank's commitment to financial inclusion and community development has contributed significantly to Indonesia's economic growth."
Yamaha Grand Indonesia,Automobiles & Components,"Yamaha Grand Indonesia represents the Indonesian arm of Yamaha Corporation, a renowned global brand in the manufacturing of motorcycles, marine products, and other motorized products. As a key player in Indonesia's automotive industry, Yamaha Grand Indonesia is involved in the production, distribution, and servicing of Yamaha motorcycles, contributing to the country's transportation infrastructure."
Holika-holika,Personal & Beauty,"Holika-holika is a South Korean cosmetics brand known for its innovative and trendy skincare and beauty products. With a playful and vibrant approach to beauty, Holika-holika offers a wide range of cosmetics, skincare items, and beauty accessories. The brand is popular for its unique formulations and eye-catching packaging, catering to a diverse and fashion-forward consumer base."
Yeos,Food & Beverage,"Yeos is a well-established food and beverage company based in Singapore, recognized for its diverse range of products, including beverages, sauces, and canned foods. With a history spanning decades, Yeos has become a trusted brand known for its quality and authenticity, catering to both local and international markets."
Damn I Love Indonesia,Textiles & Apparel,"Damn I Love Indonesia (DILo) is a lifestyle brand that celebrates Indonesian culture and identity. Offering a variety of products ranging from clothing to accessories, DILo promotes a sense of pride and patriotism through its designs and merchandise. The brand has gained popularity for its creative and spirited representation of Indonesian heritage."
OT Group,Food & Beverage,"OT Group is an Indonesian company with diverse business interests, including the distribution of consumer goods, retail, and property development. The company has a broad portfolio, engaging in activities that contribute to various sectors of the Indonesian economy."
Galeri Indonesia Kaya,Consumer Services,"Galeri Indonesia Kaya is a cultural institution dedicated to promoting and preserving Indonesian arts and culture. Through exhibitions, events, and programs, the gallery showcases the richness and diversity of Indonesia's cultural heritage, fostering appreciation and awareness among both local and international audiences."
Honda,Automobiles & Components,"Honda is a globally recognized automobile and motorcycle manufacturer, renowned for its innovative and reliable vehicles. As a key player in the automotive industry, Honda produces a wide range of cars, motorcycles, and power equipment. The company is known for its commitment to environmental sustainability and technological advancements in transportation."
Makeover,Personal & Beauty,"Makeover is an Indonesian cosmetics brand offering a comprehensive range of makeup and skincare products. With a focus on providing high-quality and on-trend beauty items, Makeover has gained popularity among consumers seeking both traditional and modern beauty solutions."
Holdak,Restaurants,"Holdak is a South Korean restaurant chain specializing in Korean fried chicken and other Korean dishes. Known for its crispy and flavorful fried chicken varieties, Holdak has expanded its presence in the food industry, offering a taste of Korean cuisine to its customers."
XL Axiata,Telecommunication,"PT XL Axiata Tbk, commonly known as XL Axiata, is a telecommunications company based in Indonesia. XL Axiata is part of the Axiata Group, a telecommunications conglomerate with a significant presence in Asia. Axiata Group is based in Malaysia and operates in multiple countries across the region. XL Axiata provides various telecommunications services, including voice and text messaging services, mobile data services, and internet services. The company has played a significant role in expanding mobile and internet connectivity in Indonesia. The company has invested in developing and upgrading its network infrastructure to provide better and more extensive coverage for its users."
Toyota,Automobiles & Components,"Toyota Motor Corporation is a Japanese multinational automotive manufacturer and one of the largest automakers in the world. Toyota was founded in 1937 by Kiichiro Toyoda. The company has grown to become one of the most recognizable and successful automotive brands globally. Toyota was founded in 1937 by Kiichiro Toyoda. Toyota has grown to become one of the most recognizable and successful automotive brands globally. Toyota operates in more than 170 countries worldwide, with manufacturing plants and distribution networks strategically located across different regions. The company has a strong presence in major markets such as North America, Asia, Europe, and other parts of the world."
Huawei,Technology Hardware,"Huawei Technologies Co., Ltd. is a Chinese multinational technology company that operates in various telecommunications and information technology sectors. Huawei was founded in 1987 by Ren Zhengfei in Shenzhen, China. It started as a telecommunications equipment manufacturer, but is now expanded their business to multiple business segments, including telecommunications equipment and infrastructure, smartphones, tablets, laptops, wearable devices, and more. Huawei is well-known for its consumer devices, particularly smartphones. It has gained international recognition for its high-quality smartphones, including the Huawei P and Mate series."
Bukalapak,E-Commerce,"Bukalapak is an Indonesian online marketplace that connects buyers and sellers. It was founded in 2010 by Achmad Zaky, Nugroho Herucahyono, and Fajrin Rasyid. The platform allows individuals and businesses to buy and sell a wide range of products and services. Bukalapak offers a diverse range of products, including electronics, fashion, beauty products, home goods, and more. The platform facilitates transactions between sellers and buyers, similar to other e-commerce platforms. In addition to its core e-commerce services, Bukalapak has ventured into providing financial services. This includes offering digital financial products and services, such as digital payments and digital credit."
Tanoto Foundation,Social,"The Tanoto Foundation was established in 2001 by Sukanto Tanoto and his family. Sukanto Tanoto is the founder of the RGE Group, a global resource-based company with interests in various industries, including pulp and paper, palm oil, and energy. The foundation focuses on philanthropy in areas such as education, empowerment of communities, healthcare, and disaster relief. It aims to contribute to poverty alleviation and sustainable development. While the foundation has its roots in Indonesia, it has expanded its reach to other countries, contributing to various projects and initiatives globally."
Nivea,Personal & Beauty,"Nivea is a global brand that primarily focuses on skincare and personal care products. It is owned by the German company Beiersdorf AG, which was founded in 1882 by pharmacist Paul Carl Beiersdorf. Nivea is one of the most recognized and widely used skincare brands worldwide, which offers a diverse range of skincare and personal care products. These include moisturizers, creams, lotions, cleansers, deodorants, shower gels, sunscreens, and more. Nivea is a globally recognized brand with a presence in over 200 countries. Its products are widely available in retail stores, pharmacies, and online platforms."
Patra Jasa,Hospitality & Tourism,"Patra Jasa is an Indonesian state-owned enterprise that operates in the hospitality and tourism industry, which was established in 1973 as a state-owned company in Indonesia. The company operates under the Ministry of State-Owned Enterprises and is involved in various businesses related to hospitality and tourism, specifically hotel management, catering services, transportation services, and facilities management. The company aims to contribute to the development of the tourism and hospitality sectors in Indonesia. As a state-owned enterprise, Patra Jasa operates under the guidance and policies set forth by the Indonesian government. State-owned enterprises often play a role in national development initiatives."
Exxon Mobil,Automobiles & Components,"Exxon Mobil Corporation, commonly known as ExxonMobil, is an American multinational corporation headquartered in Irving, Texas. It is a result of the merger of Exxon Corporation and Mobil Corporation in 1999. This company involved itselfs in various aspects of the oil and gas industry, including exploration, production, refining, and marketing of petroleum products. The company operates globally and has a presence in nearly every facet of the energy sector. In the downstream sector, ExxonMobil is involved in refining crude oil into petroleum products and marketing these products. This includes fuels, lubricants, and other petrochemical products. ExxonMobil operates in numerous countries and regions around the world, including Indonesia. It has a significant footprint in the Americas, Europe, Asia, and Africa."
MAP,Distribution & Retail,"Mitra Adiperkasa (MAP) is a leading lifestyle retailer in Indonesia with over 3,200 retail stores and a diversified portfolio that includes sports, fashion, department stores, kids, food & beverage and lifestyle products. Incorporated in 1995, MAP achieved phenomenal growth over the years culminating in its IPO in November 2004. Some of its iconic brands include Starbucks, Zara, Marks & Spencer, SOGO, SEIBU, Oshkosh B’Gosh, Converse, among many others. MAP has a significant presence in the sports and active lifestyle segment. It manages various sports and outdoor brands, catering to consumers with an interest in fitness and outdoor activities."
Indofood,Food & Beverage,"Indofood is one of the largest food companies in Indonesia and is engaged in various aspects of the food business, including the production of instant noodles, dairy products, snacks, and other food items. Indofood was founded by Sudono Salim in 1990, who was a prominent Indonesian businessman and philanthropist. Indofood has since grown to become a significant player in the food industry. Indofood has a diverse range of products that cater to different consumer preferences. Some of its well-known brands include Indomie (instant noodles), Indomilk (dairy products), Chitato (potato chips), and many others. Indofood is also listed on the Indonesia Stock Exchange (IDX) and is part of the Salim Group, one of Indonesia's largest conglomerates."
CNN Indonesia,Media & Entertainment,"CNN Indonesia is a news website and television channel based in Indonesia, owned by Trans Media. It operates as a local franchise of CNN, the global news network. CNN Indonesia was officially launched on August 17, 2015. The launch marked the entry of CNN into the Indonesian media market. CNN Indonesia operates across multiple media platforms, including a television channel and a news website. The television channel broadcasts news, current affairs, and various programs, while the website provides online news content. In addition to television broadcasting, CNN Indonesia has a strong online presence through its news website. The website serves as a platform for delivering news articles, videos, and other multimedia content."
Shopee,E-Commerce,"Shopee is an e-commerce platform developed by Sea Group, a technology company based in Singapore. Shopee was launched in 2015, and it has rapidly grown to become one of the largest and most popular online shopping platforms in Southeast Asia. Shopee offers a wide range of products and categories, including electronics, fashion, beauty and personal care, home and living, toys, and more. It provides a platform for both small local sellers and larger businesses to reach customers. Shopee is known for its marketing campaigns and promotions, especially during special events like ""Shopee 9.9,"" ""Shopee 10.10,"" and other sales festivals. These events often include exclusive deals, discounts, and interactive activities."
Wardah,Personal & Beauty,"Wardah is an Indonesian cosmetics and skincare brand that has gained popularity for offering halal and dermatologically-tested products. It was introduced as a brand under PT Paragon Technology and Innovation, the parent company of Wardah, was founded in 1995 by Nurhayati Subakat. Wardah offers a wide range of beauty and skincare products, including but not limited to makeup, skincare, hair care, and fragrances. The product lines cover various categories such as face care, eye care, lip care, and more. Wardah products are often priced competitively, making them accessible to a broad range of consumers. This strategy has contributed to the brand's popularity, particularly in the Indonesian market."
Shell (Oil Company),Utilities,"Shell, officially known as Royal Dutch Shell, is a British-Dutch multinational oil and gas company. with a significant presence globally, which also operating in Indonesia. Shell has been operating in Indonesia for many decades and is involved in various aspects of the energy industry. The company engages in upstream activities such as oil and gas exploration and production, as well as downstream activities including refining, distribution, and marketing of petroleum products. As part of its commitment to sustainable energy, Shell has been exploring and investing in renewable energy sources. This includes investments in biofuels, wind energy, and solar power. In Indonesia, the company may be involved in initiatives related to cleaner and more sustainable energy solutions."
Eni (Energy Company),Utilities,"Eni is an Italian multinational energy company with a focus on oil and gas exploration, production, refining, and marketing. It was founded in 1953 as Agip (Azienda Generale Italiana Petroli), and it later became Eni in 1954. The company played a crucial role in the development of the Italian energy sector and has grown into a major global player in the oil and gas industry. Eni has also participated in exploration and production activities in Indonesia's oil and gas sector. This involvement typically includes exploration for hydrocarbons, drilling operations, and the production of oil and natural gas. Eni has been known to be engaged in various projects in Indonesia. These projects may involve both onshore and offshore activities, as Indonesia has significant oil and gas reserves both on land and in its waters."
The Body Shop,Personal & Beauty,"The Body Shop is a global beauty and cosmetics company, which was founded by Anita Roddick in 1976 in Brighton, England, and known for its focus on ethical and sustainable practices.  The brand was established with a commitment to providing ethically sourced, cruelty-free, and natural beauty and skincare products. The Body Shop is recognized for its strong ethical stance. It has been a pioneer in promoting cruelty-free beauty products and advocating against animal testing in the cosmetics industry. The Body Shop is committed to fair trade practices and sources many of its ingredients from community trade programs, supporting local communities and ensuring fair compensation for producers. The Body Shop has a global presence with stores in many countries, including Indonesia. Additionally, the brand sells its products through its online platform, allowing customers to make purchases conveniently."
Garuda Food Indonesia,Food & Beverage,"GarudaFood is a major food and beverage company based in Indonesia, founded by Sudhamek AWS and his wife, Helianti Hilman, in 1990. GarudaFood started as a home-based snack business and has grown into one of Indonesia's prominent food and beverage companies. GarudaFood is particularly renowned for its peanut-based products, including roasted peanuts, peanut butter, and peanut-flavored snacks. Even so, it also offers a variety of biscuits, snacks, and chocolate-based products under different brand names. These products cater to different consumer preferences and include sweet and savory snacks. While initially focused on the Indonesian market, GarudaFood has expanded its presence internationally. Its products are available in several countries, contributing to the company's global footprint."
PT. Sinar Sosro,Food & Beverage,"PT. Sinar Sosro is an Indonesian company that is well-known for producing and distributing tea-based beverages, with its most famous product being the ""Sosro"" tea brand. It was founded in 1974 by Soegiarto Adikoesoemo in Slawi, Central Java, Indonesia, and began its operations by producing and selling bottled jasmine tea. Sinar Sosro offers a variety of tea products, including sweetened jasmine tea, lemon tea, apple tea, and other flavored teas. Sinar Sosro has expanded its product range to cater to different consumer preferences. While Sinar Sosro is based in Indonesia, its products, especially Sosro tea, are also exported to other countries. Indonesian communities and consumers worldwide often seek out Sosro tea products."
Traveloka,Technology Software,"Traveloka is an Indonesian technology company that specializes in providing online travel and lifestyle services. Traveloka was founded in 2012 by a group of Indonesian entrepreneurs, including Ferry Unardi, Derianto Kusuma, and Albert Zhang. It started as a platform for booking flights but expanded its services to include various aspects of travel and lifestyle. Traveloka offers a comprehensive range of online travel and lifestyle services. Its primary services include flight booking, hotel reservation, and car rental. The platform has expanded to include services such as activities and attractions booking, airport transfers, and travel insurance. Traveloka has attracted significant investment over the years.Traveloka has been valued as one of Indonesia's unicorns, indicating a privately held startup with a valuation exceeding $1 billion."
Jenius,Finance,"Jenius is a product of PT Bank Tabungan Pensiunan Nasional Tbk (BTPN), one of Indonesia's banks. BTPN is known for its focus on serving pensioners (pensiunan) but has expanded its offerings with the introduction of Jenius. Jenius operates primarily as a mobile-based banking platform, allowing users to perform various banking activities through a smartphone app. Features include digital account opening, fund transfers, bill payments, budgeting tools, and real-time transaction notifications. Jenius issues physical and virtual debit cards that users can link to their Smart Account. The customizable design of physical cards is a notable feature."
by.u,Telecommunication,by.U the all-digital prepaid card that runs in No 1 Telkomsel network
First Media,Telecommunication,"First Media is an Indonesian telecommunications and multimedia company that provides a range of services, including cable television, high-speed internet, and fixed-line telephone services. It is a subsidiary of the Lippo Group, one of the largest and most diversified business conglomerates in Indonesia. The company primarily operates in major urban areas in Indonesia, providing services to residents and businesses in cities such as Jakarta, Surabaya, Bandung, and others. First Media typically provides a range of subscription packages and plans, allowing customers to choose services that suit their preferences and needs. This may include different combinations of cable TV channels, internet speeds, and telephone services."
Smartfren 4G,Telecommunication,"PT Smartfren Telecom Tbk, commonly known as Smartfren, is a telecommunications company based in Indonesia, providing a range of services including mobile broadband, 4G LTE (Long-Term Evolution) internet, and related products. Smartfren is known for its mobile broadband services, offering high-speed internet access through various devices, including smartphones, modems, and routers. Smartfren offers a range of devices compatible with its services, including smartphones, dongles, Mi-Fi (mobile Wi-Fi) devices, and routers. Smartfren typically provides various data plans and packages to cater to different user needs. These plans may include different data quotas, speeds, and validity periods."
British Council,Education,"The British Council is a UK-based organization that operates internationally, focusing on cultural relations and educational opportunities. The British Council's mission is to create international opportunities for the people of the UK and other countries, promoting cultural exchange, language learning, and education. The British Council engages in cultural relations by organizing events, exhibitions, and programs that showcase the arts, literature, education, and innovation of the UK. These activities promote dialogue and collaboration between people of different cultures. The British Council operates in over 100 countries, with offices, teaching centers, and cultural spaces that serve as hubs for its activities."
Aqua (Danone),Food & Beverage,"Danone is a multinational food-products corporation headquartered in Paris, France. It was founded in Barcelona, Spain, in 1919 by Isaac Carasso. The company's original product was yogurt, which was sold under the brand name ""Danone"". Danone's product portfolio includes a variety of dairy and plant-based products, bottled water, baby food, and medical nutrition. Some well-known brands under Danone's umbrella include Activia, Actimel, Danonino, Danette, evian, and Alpro. The company is a major player in the dairy industry, offering a range of yogurts, dairy desserts, and fermented dairy products. In recent years, Danone has also expanded its presence in the plant-based market with products like plant-based yogurts and beverages."
Bank Mega,Bank,"PT Bank Mega Tbk, commonly known as Bank Mega, is one of the prominent banks in Indonesia, offering a range of financial products and services. It was founded in 1969 by Chairul Tanjung, and firstly started as a financial institution providing financing for the automotive industry. In the retail banking sector, Bank Mega offers various products such as savings accounts, time deposits, loans, credit cards, and electronic banking services. As part of the industry's digital transformation, Bank Mega has invested in digital banking services, allowing customers to access banking services through online platforms and mobile apps."
OPPO,Technology Hardware,"Oppo is a Chinese consumer electronics and mobile communications company that is known for designing and manufacturing smartphones, audio devices, smartwatches, and other electronic accessories. Oppo was founded in 2001 by Tony Chen, and initially started as a manufacturer of consumer electronics and later shifted its focus to mobile phones. Nowadays, Oppo is widely recognized for its smartphone lineup, offering a range of devices catering to different market segments. The company has gained popularity for producing smartphones with innovative features, sleek designs, and advanced camera technology. In addition to smartphones, Oppo has diversified its product portfolio to include audio devices, smartwatches, and other accessories."
Nissan,Automobiles & Components,"Nissan Motor Co., Ltd. is a multinational automotive manufacturer based in Yokohama, Japan. It was founded in 1933 as Jidosha-Seizo Co., Ltd., and it later adopted the name Nissan Motor Co., Ltd. The company's roots trace back to the Nissan zaibatsu, which was a group of companies associated with the Nissan conglomerate. Nissan is a major player in the global automotive industry, with a strong presence in various markets worldwide. Nissan offers a diverse lineup of vehicles under various brands. Some popular models include the Nissan Altima, Maxima, Sentra, Rogue, Pathfinder, and the electric Nissan Leaf. As a publicly traded company, Nissan regularly reports its financial performance. The company's shares are listed on the Tokyo Stock Exchange."
OLX,Technology Software,"OLX is an online marketplace that was founded in 2006 by Fabrice Grinda and Alec Oxenford. Though It was initially focus won providing a platform for classified advertisements, now it became a platform that facilitates buying and selling of goods and services through localized websites and mobile apps. OLX operates in multiple countries around the world, with a presence in regions such as Asia, Africa, Europe, and Latin America. It customizes its platform for each local market to cater to the specific needs of users. OLX covers a wide range of categories, including real estate, vehicles, jobs, services, pets, and community-related posts. Users can find or list items in various categories based on their needs."
CIMB Niaga,Bank,"PT Bank CIMB Niaga Tbk, commonly known as CIMB Niaga, was established in 1955 as Bank Niaga. Over the years, it underwent various changes and rebranding, and it became part of the CIMB Group in 2002. CIMB Niaga offers a comprehensive range of banking services, including retail banking, corporate banking, commercial banking, and Islamic banking. In the retail banking sector, CIMB Niaga provides various products and services, including savings accounts, current accounts, fixed deposits, personal loans, credit cards, and other consumer financial products. Like many modern banks, CIMB Niaga has invested in digital banking initiatives to provide online and mobile banking services. This includes features such as internet banking, mobile apps, and electronic payment options."
Coca Cola,Food & Beverage,"The Coca-Cola Company is a multinational beverage corporation known for its iconic soft drink brand, Coca-Cola. Coca-Cola was created by Dr. John Stith Pemberton in 1886 in Atlanta, Georgia, USA. The drink was initially intended as a patent medicine but evolved into the world-famous beverage. The Coca-Cola Company offers a diverse range of beverages, including carbonated soft drinks, non-carbonated beverages, juices, sports drinks, teas, and bottled water. Coca-Cola products are available in virtually every country around the world. The company operates in numerous markets, with a vast distribution network. In addition to Coca-Cola, the company owns and markets other well-known brands, including Diet Coke, Coca-Cola Zero Sugar, Sprite, Fanta, Minute Maid, Powerade, and Dasani, among others."
Golds Gym,Fitness,"Gold's Gym is a global fitness and health club chain that is well-known for its fitness facilities, equipment, and services. Founded in 1965 by Joe Gold in Venice Beach, California, USA, it gained popularity for its association with bodybuilding and weightlifting culture, attracting fitness enthusiasts and professionals. Gold's Gym offers a variety of fitness programs and services, including group exercise classes, personal training, cardiovascular equipment, strength training machines, and free weights. The facilities are designed to cater to individuals with diverse fitness goals. Gold's Gym offers personal training services with certified fitness trainers who work with individuals to create personalized workout plans, provide guidance, and assist in achieving fitness goals. Gold's Gym has expanded its presence internationally, with fitness centers located in numerous countries. The brand is recognized as a leader in the fitness industry on a global scale."
